5772,8,0
7337,8,0
560,8,0
7302,8,0
6110,8,0
6644,8,0
607,8,0
1329,8,0
8138,8,0
3944,8,0
643,8,0
4769,8,0
8754,8,0
2117,8,0
8132,8,0
6781,9,0
1507,9,0
4009,9,0
7938,9,0
258,9,0
8735,9,0
4275,9,0
8070,9,0
4757,9,0
3934,5,0
5478,5,0
8245,5,0
2210,5,0
2054,5,0
1536,5,0
7566,5,0
1639,5,0
4063,5,0
7240,5,0
1347,5,0
2594,5,0
4222,5,0
2184,5,0
7486,5,0
6499,5,0
8685,5,0
8912,5,0
8243,5,0
6336,1,0
3109,1,0
6105,1,0
6664,1,0
5636,1,0
8905,1,0
7432,1,0
500,1,0
4350,1,0
6639,1,0
1558,1,0
2680,1,0
8184,1,0
5511,1,0
4316,1,0
6111,1,0
8196,1,0
265,1,0
1616,1,0
6898,1,0
5986,1,0
8242,2,0
686,2,0
4729,2,0
1774,2,0
3187,2,0
1352,2,0
8885,2,0
1287,2,0
3570,2,0
8430,2,0
3347,2,0
7383,2,0
6035,2,0
5260,2,0
1602,2,0
4949,2,0
8950,2,0
5616,2,0
1081,2,0
5844,2,0
6518,2,0
6344,2,0
3527,2,0
840,3,0
2698,3,0
758,3,0
5079,3,0
2107,3,0
1891,3,0
5911,3,0
3961,3,0
8803,3,0
703,3,0
7588,3,0
861,3,0
8582,3,0
7285,3,0
371,3,0
4728,3,0
2548,3,0
1146,3,0
7947,3,0
7599,3,0
7133,0,0
1060,0,0
8798,0,0
3763,0,0
4709,0,0
3700,0,0
3503,0,0
7444,0,0
7552,0,0
579,0,0
6820,0,0
4633,0,0
6740,0,0
8875,0,0
4090,0,0
11,0,0
4678,0,0
8873,0,0
1440,6,0
6746,6,0
928,6,0
2356,6,0
4941,6,0
892,6,0
7177,6,0
1481,6,0
5253,6,0
3185,6,0
2528,6,0
4786,6,0
8932,6,0
400,6,0
7141,6,0
1167,6,0
3936,6,0
4484,6,0
2377,6,0
1636,6,0
2682,6,0
4558,6,0
6988,6,0
7761,6,0
3821,6,0
4372,6,0
2617,4,0
6840,4,0
8007,5,1
8494,0,1
2298,6,1
5967,6,1
5963,4,1
5169,4,1
7220,4,1
5059,4,1
2525,4,1
4968,4,1
6514,4,1
7916,4,1
7940,4,1
5000,4,1
8865,4,1
4712,4,1
3740,4,1
684,4,1
2976,4,1
4445,4,1
369,4,1
4793,4,1
6122,4,1
7734,4,1
4546,4,1
8713,4,1
2769,4,1
3289,4,1
4839,4,1
8319,4,1
3304,4,1
1427,4,1
2074,7,1
3460,7,1
556,7,1
5849,7,1
1493,7,1
2784,7,1
2101,7,1
1557,7,1
7147,7,1
1370,7,1
2971,7,1
4109,7,1
7266,7,1
5899,7,1
5996,7,1
1464,7,1
7857,7,1
8305,7,1
4329,7,1
1749,7,1
5723,7,1
4611,7,1
5467,7,1
53,7,1
5875,7,1
8190,7,1
5440,7,1
2893,7,1
145,7,1
3761,7,1
595,7,1
6404,7,1
7887,7,1
7173,6,2
1699,4,2
4673,7,2
3141,0,3
8751,6,3
989,4,3
2420,4,3
5919,4,3
2817,4,3
1928,7,3
1923,8,4
5613,9,4
6880,6,4
308,6,4
4913,6,4
6989,4,4
8866,7,4
2666,1,5
4349,6,5
2343,5,6
80,6,6
2336,6,6
