没什么用拿来占位的第一行，这是第1个文件
0,574,53,19
1,32,23,5
2,372,37,61
3,223,76,50
4,393,55,50
5,91,71,22
6,389,7,41
7,294,76,61
8,13,10,12
9,691,69,52
10,700,7,59
11,106,80,25
12,223,53,21
13,116,13,28
14,273,6,11
15,294,78,44
16,440,2,47
17,354,70,57
18,607,63,51
19,146,15,30
20,272,7,38
21,490,17,21
22,223,17,30
23,270,7,28
24,55,77,23
25,230,6,5
26,182,6,37
27,555,35,4
28,570,23,57
29,465,79,53
30,159,29,39
31,677,37,6
32,33,16,47
33,659,12,2
34,446,36,17
35,511,52,45
36,699,1,40
37,560,42,55
38,519,68,57
39,281,26,26
40,417,78,13
41,606,72,32
42,57,6,1
43,461,68,57
44,271,69,42
45,397,78,62
46,524,49,13
47,637,77,28
48,563,59,12
49,418,40,26
50,514,11,6
51,210,45,59
52,304,18,34
53,475,18,1
54,471,25,36
55,236,0,52
56,555,14,48
57,189,16,40
58,283,80,14
59,625,72,46
60,83,11,35
61,286,17,15
62,572,32,9
63,142,2,65
64,210,52,33
65,389,72,30
66,414,43,12
67,114,10,29
68,466,72,28
69,655,79,9
70,678,68,7
71,373,31,37
72,558,72,48
73,328,47,15
74,471,25,52
75,284,77,47
76,670,79,14
77,215,11,36
78,315,43,37
79,250,32,65
80,189,21,21
81,321,36,39
82,170,9,12
83,548,15,5
84,233,28,14
85,599,60,61
86,559,79,49
87,139,46,48
88,539,62,8
89,430,28,11
90,100,27,38
91,378,45,32
92,492,12,6
93,515,12,25
94,403,52,11
95,402,50,53
96,27,53,51
97,16,21,22
98,521,10,30
99,398,78,53
100,471,27,28
101,126,53,28
102,314,60,43
103,353,71,16
104,356,13,38
105,31,25,26
106,173,12,22
107,58,13,60
108,522,42,4
109,510,31,15
110,402,32,42
111,370,7,49
112,222,36,29
113,441,80,12
114,337,59,35
115,136,46,50
116,492,2,23
117,442,8,8
118,1,79,42
119,246,68,51
120,96,80,58
121,34,77,56
122,501,41,3
123,423,63,30
124,268,54,56
125,242,17,5
126,454,8,22
127,356,77,6
128,98,47,23
129,67,39,8
130,378,12,53
131,443,31,31
132,234,32,44
133,180,20,46
134,363,77,23
135,101,46,39
136,66,23,28
137,673,13,54
138,263,38,20
139,251,34,57
140,33,54,44
141,618,42,20
142,663,42,46
143,532,52,13
144,289,19,62
145,229,13,40
146,178,68,64
147,297,16,39
148,257,28,7
149,305,9,27
150,20,80,24
151,354,19,22
152,310,11,52
153,523,30,34
154,323,44,45
155,215,61,10
156,128,15,49
157,410,47,41
158,212,42,21
159,309,10,9
160,68,80,2
161,146,80,1
162,669,61,30
163,318,30,6
164,687,60,51
165,248,31,49
166,14,28,56
167,466,44,4
168,334,43,25
169,408,16,24
170,114,75,32
171,577,36,7
172,296,48,42
173,595,78,64
174,460,59,30
175,105,7,20
176,51,38,55
177,8,24,11
178,630,32,8
179,504,0,65
180,248,31,45
181,414,66,35
182,700,49,4
183,394,10,23
184,157,74,41
185,663,60,45
186,568,10,25
187,595,59,36
188,232,41,50
189,491,66,58
190,86,16,23
191,92,12,57
192,140,70,11
193,464,41,19
194,179,56,39
195,603,52,41
196,106,35,22
197,484,65,2
198,206,55,54
199,28,74,18
200,434,76,51
201,142,53,16
202,697,56,2
203,465,50,50
204,275,0,64
205,426,53,10
206,680,12,51
207,257,39,7
208,693,46,60
209,144,16,33
210,159,37,42
211,213,37,56
212,364,23,60
213,186,59,51
214,510,20,46
215,395,66,40
216,308,13,54
217,524,40,51
218,514,40,62
219,550,55,59
220,488,12,15
221,544,29,57
222,267,58,29
223,374,46,10
224,552,29,40
225,7,21,29
226,163,69,2
227,593,37,16
228,278,49,26
229,135,32,58
230,436,53,12
231,698,67,13
232,203,21,9
233,382,59,3
234,292,54,63
235,430,6,58
236,518,0,45
237,113,8,38
238,424,73,47
239,151,28,5
240,628,38,30
241,76,22,23
242,143,19,48
243,394,20,6
244,83,12,22
245,498,39,22
246,501,28,45
247,85,16,52
248,200,48,38
249,484,80,59
250,641,11,47
251,454,28,63
252,379,80,33
253,387,66,10
254,335,46,14
255,387,74,19
256,262,31,41
257,70,11,6
258,545,22,29
259,401,38,36
260,73,72,5
261,569,3,14
262,114,20,4
263,153,21,15
264,472,7,7
265,539,30,29
266,576,72,2
267,265,7,50
268,12,70,20
269,554,37,40
270,15,32,51
271,620,12,41
272,367,49,54
273,116,2,12
274,190,50,21
275,434,66,14
276,27,11,26
277,144,59,10
278,18,40,24
279,423,36,64
280,94,14,48
281,562,28,52
282,228,47,57
283,224,12,17
284,235,45,40
285,463,63,53
286,658,13,25
287,26,40,38
288,627,13,31
289,549,70,43
290,89,11,10
291,254,38,61
292,165,33,62
293,414,54,53
294,578,80,6
295,405,11,22
296,535,22,6
297,675,67,13
298,268,37,55
299,17,61,4
300,295,62,17
301,603,74,38
302,697,40,39
303,227,18,65
304,13,31,5
305,484,0,12
306,279,47,11
307,135,66,45
308,529,36,61
309,82,29,40
310,683,77,54
311,670,63,29
312,411,51,59
313,118,43,10
314,195,50,13
315,294,19,57
316,394,63,15
317,536,43,6
318,121,66,2
319,23,23,65
320,367,51,45
321,20,16,6
322,560,60,17
323,497,28,51
324,411,72,37
325,22,78,10
326,148,46,49
327,193,77,37
328,678,27,2
329,149,66,61
330,520,54,50
